Order_ID,Date,Product_ID,Product_Name,Category,Quantity,Unit_Cost,Unit_Price,Discount,Channel,Region,Skin_Type
YUL-10040,2025-05-29,P001,Deep Sea Hair Mask,Hair,4,12,38,0.2,Sephora,London,Sensitive
YUL-10041,2024-05-20,P003,Scalp Soothing Oil,Hair,4,8,28,0.0,Flagship Store,Tokyo,Dry
YUL-10042,2025-07-01,P005,Ceramide Barrier Cream,Skin,4,14,42,0.2,Flagship Store,NYC,Dry
YUL-10043,2025-03-07,P003,Scalp Soothing Oil,Hair,3,8,28,0.0,Online,NYC,Sensitive
YUL-10044,2024-05-25,P004,Mugwort Essence,Skin,2,10,32,0.2,Flagship Store,NYC,Oily
YUL-10045,2025-09-18,P005,Ceramide Barrier Cream,Skin,2,14,42,0.0,Olive Young,London,Sensitive
YUL-10046,2025-05-02,P004,Mugwort Essence,Skin,4,10,32,0.0,Online,London,Dry
YUL-10047,2025-11-20,P004,Mugwort Essence,Skin,4,10,32,0.25,Flagship Store,NYC,Sensitive
YUL-10048,2024-03-18,P001,Deep Sea Hair Mask,Hair,3,12,38,0.0,Flagship Store,London,Dry
YUL-10049,2024-09-25,P004,Mugwort Essence,Skin,2,10,32,0.25,Online,NYC,Oily
YUL-10050,2025-01-23,P004,Mugwort Essence,Skin,2,10,32,0.0,Online,London,Sensitive
YUL-10051,2024-04-10,P004,Mugwort Essence,Skin,3,10,32,0.1,Flagship Store,Seoul,Combination
YUL-10052,2024-01-02,P003,Scalp Soothing Oil,Hair,1,8,28,0.1,Flagship Store,Tokyo,Dry
YUL-10053,2024-08-25,P005,Ceramide Barrier Cream,Skin,2,14,42,0.2,Sephora,Seoul,Combination
YUL-10054,2024-05-29,P002,Fermented Rice Serum,Skin,4,15,45,0.0,Flagship Store,Seoul,Dry
YUL-10055,2024-03-29,P005,Ceramide Barrier Cream,Skin,4,14,42,0.0,Online,Tokyo,Sensitive
YUL-10056,2024-02-24,P003,Scalp Soothing Oil,Hair,4,8,28,0.1,Flagship Store,Seoul,Dry
YUL-10057,2025-09-12,P004,Mugwort Essence,Skin,3,10,32,0.25,Sephora,London,Dry
YUL-10058,2024-10-27,P005,Ceramide Barrier Cream,Skin,2,14,42,0.0,Online,NYC,Combination
YUL-10059,2025-06-10,P002,Fermented Rice Serum,Skin,1,15,45,0.1,Sephora,NYC,Combination
YUL-10060,2024-11-26,P002,Fermented Rice Serum,Skin,2,15,45,0.0,Olive Young,NYC,Dry
YUL-10061,2024-04-30,P001,Deep Sea Hair Mask,Hair,1,12,38,0.0,Flagship Store,London,Combination
YUL-10062,2024-02-01,P003,Scalp Soothing Oil,Hair,3,8,28,0.0,Olive Young,NYC,Oily
YUL-10063,2024-01-05,P005,Ceramide Barrier Cream,Skin,3,14,42,0.0,Olive Young,London,Combination
YUL-10064,2024-07-03,P003,Scalp Soothing Oil,Hair,1,8,28,0.0,Online,Seoul,Combination
YUL-10065,2025-07-15,P002,Fermented Rice Serum,Skin,2,15,45,0.0,Flagship Store,Tokyo,Combination
YUL-10066,2024-10-11,P005,Ceramide Barrier Cream,Skin,3,14,42,0.1,Sephora,London,Dry
YUL-10067,2025-04-30,P002,Fermented Rice Serum,Skin,2,15,45,0.0,Sephora,Seoul,Dry
YUL-10068,2024-06-28,P004,Mugwort Essence,Skin,4,10,32,0.2,Flagship Store,Tokyo,Dry
YUL-10069,2024-03-06,P001,Deep Sea Hair Mask,Hair,3,12,38,0.0,Olive Young,Tokyo,Combination
YUL-10070,2025-05-23,P004,Mugwort Essence,Skin,4,10,32,0.0,Sephora,Seoul,Oily
YUL-10071,2025-03-20,P005,Ceramide Barrier Cream,Skin,3,14,42,0.2,Sephora,NYC,Combination
YUL-10072,2024-12-02,P003,Scalp Soothing Oil,Hair,2,8,28,0.0,Sephora,Tokyo,Dry
YUL-10073,2024-03-19,P001,Deep Sea Hair Mask,Hair,4,12,38,0.25,Olive Young,London,Combination
YUL-10074,2024-02-04,P004,Mugwort Essence,Skin,2,10,32,0.0,Sephora,Tokyo,Dry
YUL-10075,2024-11-17,P002,Fermented Rice Serum,Skin,2,15,45,0.2,Online,NYC,Oily
YUL-10076,2025-09-10,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Flagship Store,London,Sensitive
YUL-10077,2025-05-03,P001,Deep Sea Hair Mask,Hair,3,12,38,0.0,Online,London,Oily
YUL-10078,2025-03-12,P005,Ceramide Barrier Cream,Skin,3,14,42,0.0,Sephora,Tokyo,Oily
YUL-10079,2024-07-18,P002,Fermented Rice Serum,Skin,4,15,45,0.0,Sephora,Seoul,Oily
YUL-10080,2024-01-25,P003,Scalp Soothing Oil,Hair,4,8,28,0.25,Flagship Store,NYC,Oily
YUL-10081,2024-08-27,P004,Mugwort Essence,Skin,3,10,32,0.0,Online,Tokyo,Oily
YUL-10082,2024-04-01,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Sephora,Seoul,Sensitive
YUL-10083,2025-09-06,P002,Fermented Rice Serum,Skin,3,15,45,0.2,Online,London,Oily
YUL-10084,2024-12-11,P003,Scalp Soothing Oil,Hair,4,8,28,0.2,Olive Young,Seoul,Oily
YUL-10085,2024-11-20,P002,Fermented Rice Serum,Skin,4,15,45,0.0,Sephora,Tokyo,Sensitive
YUL-10086,2025-03-08,P003,Scalp Soothing Oil,Hair,2,8,28,0.0,Online,Tokyo,Combination
YUL-10087,2025-10-31,P005,Ceramide Barrier Cream,Skin,3,14,42,0.2,Sephora,NYC,Oily
YUL-10088,2025-01-19,P003,Scalp Soothing Oil,Hair,2,8,28,0.2,Flagship Store,NYC,Oily
YUL-10089,2025-09-05,P002,Fermented Rice Serum,Skin,2,15,45,0.0,Sephora,Tokyo,Combination
YUL-10090,2024-12-09,P005,Ceramide Barrier Cream,Skin,2,14,42,0.0,Flagship Store,NYC,Sensitive
YUL-10091,2025-01-28,P002,Fermented Rice Serum,Skin,1,15,45,0.25,Olive Young,Tokyo,Oily
YUL-10092,2024-09-14,P004,Mugwort Essence,Skin,2,10,32,0.0,Online,NYC,Sensitive
YUL-10093,2024-05-11,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Online,Tokyo,Combination
YUL-10094,2025-12-22,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Flagship Store,NYC,Dry
YUL-10095,2024-01-23,P002,Fermented Rice Serum,Skin,2,15,45,0.1,Olive Young,Seoul,Combination
YUL-10096,2024-04-30,P002,Fermented Rice Serum,Skin,1,15,45,0.2,Online,NYC,Sensitive
YUL-10097,2025-10-22,P002,Fermented Rice Serum,Skin,1,15,45,0.0,Online,London,Sensitive
YUL-10098,2025-09-04,P002,Fermented Rice Serum,Skin,1,15,45,0.1,Flagship Store,Tokyo,Sensitive
YUL-10099,2025-05-29,P003,Scalp Soothing Oil,Hair,2,8,28,0.0,Olive Young,Seoul,Oily
YUL-10100,2024-07-17,P004,Mugwort Essence,Skin,1,10,32,0.0,Flagship Store,Seoul,Combination
YUL-10101,2025-03-30,P005,Ceramide Barrier Cream,Skin,2,14,42,0.1,Sephora,London,Combination
YUL-10102,2025-03-26,P004,Mugwort Essence,Skin,2,10,32,0.0,Flagship Store,NYC,Dry
YUL-10103,2024-07-29,P003,Scalp Soothing Oil,Hair,1,8,28,0.1,Flagship Store,NYC,Dry
YUL-10104,2024-10-17,P004,Mugwort Essence,Skin,2,10,32,0.1,Sephora,Seoul,Sensitive
YUL-10105,2024-02-26,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Olive Young,NYC,Sensitive
YUL-10106,2025-04-26,P001,Deep Sea Hair Mask,Hair,4,12,38,0.0,Online,Seoul,Oily
YUL-10107,2025-08-15,P003,Scalp Soothing Oil,Hair,3,8,28,0.0,Sephora,NYC,Combination
YUL-10108,2024-08-05,P001,Deep Sea Hair Mask,Hair,1,12,38,0.0,Online,Tokyo,Sensitive
YUL-10109,2025-01-17,P002,Fermented Rice Serum,Skin,1,15,45,0.0,Sephora,Seoul,Dry
YUL-10110,2024-07-06,P004,Mugwort Essence,Skin,1,10,32,0.2,Flagship Store,NYC,Sensitive
YUL-10111,2024-06-18,P002,Fermented Rice Serum,Skin,3,15,45,0.25,Online,Tokyo,Sensitive
YUL-10112,2025-11-28,P001,Deep Sea Hair Mask,Hair,1,12,38,0.25,Flagship Store,NYC,Combination
YUL-10113,2025-12-26,P002,Fermented Rice Serum,Skin,4,15,45,0.1,Sephora,London,Sensitive
YUL-10114,2025-02-19,P005,Ceramide Barrier Cream,Skin,2,14,42,0.1,Flagship Store,London,Dry
YUL-10115,2025-11-12,P005,Ceramide Barrier Cream,Skin,2,14,42,0.1,Sephora,Tokyo,Sensitive
YUL-10116,2024-08-03,P001,Deep Sea Hair Mask,Hair,4,12,38,0.0,Flagship Store,Seoul,Oily
YUL-10117,2024-09-04,P004,Mugwort Essence,Skin,3,10,32,0.1,Sephora,London,Dry
YUL-10118,2024-05-19,P005,Ceramide Barrier Cream,Skin,2,14,42,0.25,Sephora,Seoul,Sensitive
YUL-10119,2025-04-03,P001,Deep Sea Hair Mask,Hair,3,12,38,0.0,Flagship Store,Tokyo,Sensitive
YUL-10120,2025-06-27,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Online,Tokyo,Combination
YUL-10121,2024-11-24,P002,Fermented Rice Serum,Skin,1,15,45,0.0,Sephora,Tokyo,Dry
YUL-10122,2025-06-13,P003,Scalp Soothing Oil,Hair,2,8,28,0.0,Flagship Store,Seoul,Combination
YUL-10123,2025-04-14,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Online,Seoul,Oily
YUL-10124,2025-10-12,P003,Scalp Soothing Oil,Hair,2,8,28,0.1,Olive Young,London,Oily
YUL-10125,2024-04-07,P004,Mugwort Essence,Skin,3,10,32,0.0,Flagship Store,London,Sensitive
YUL-10126,2024-05-12,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Online,NYC,Dry
YUL-10127,2024-10-14,P003,Scalp Soothing Oil,Hair,3,8,28,0.0,Sephora,Tokyo,Dry
YUL-10128,2025-10-25,P004,Mugwort Essence,Skin,3,10,32,0.0,Flagship Store,Seoul,Combination
YUL-10129,2025-03-11,P004,Mugwort Essence,Skin,1,10,32,0.25,Sephora,Tokyo,Combination
YUL-10130,2025-04-10,P005,Ceramide Barrier Cream,Skin,3,14,42,0.0,Olive Young,Tokyo,Oily
YUL-10131,2024-06-16,P003,Scalp Soothing Oil,Hair,4,8,28,0.0,Online,Tokyo,Combination
YUL-10132,2024-12-09,P001,Deep Sea Hair Mask,Hair,1,12,38,0.0,Flagship Store,Tokyo,Dry
YUL-10133,2025-04-26,P004,Mugwort Essence,Skin,4,10,32,0.0,Flagship Store,Tokyo,Combination
YUL-10134,2025-08-01,P003,Scalp Soothing Oil,Hair,4,8,28,0.0,Olive Young,Tokyo,Dry
YUL-10135,2025-04-03,P002,Fermented Rice Serum,Skin,1,15,45,0.0,Sephora,Tokyo,Oily
YUL-10136,2025-04-26,P004,Mugwort Essence,Skin,1,10,32,0.0,Online,London,Combination
YUL-10137,2025-05-05,P003,Scalp Soothing Oil,Hair,3,8,28,0.1,Online,Tokyo,Dry
YUL-10138,2024-03-27,P002,Fermented Rice Serum,Skin,1,15,45,0.0,Sephora,Seoul,Oily
YUL-10139,2024-08-15,P005,Ceramide Barrier Cream,Skin,4,14,42,0.0,Online,Tokyo,Sensitive
YUL-10140,2024-07-01,P004,Mugwort Essence,Skin,3,10,32,0.25,Sephora,London,Combination
YUL-10141,2024-04-14,P002,Fermented Rice Serum,Skin,4,15,45,0.0,Olive Young,Tokyo,Combination
YUL-10142,2024-03-19,P003,Scalp Soothing Oil,Hair,2,8,28,0.0,Sephora,NYC,Dry
YUL-10143,2025-01-14,P003,Scalp Soothing Oil,Hair,4,8,28,0.0,Sephora,NYC,Oily
YUL-10144,2024-06-21,P004,Mugwort Essence,Skin,3,10,32,0.25,Online,Seoul,Oily
YUL-10145,2024-03-08,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Flagship Store,London,Dry
YUL-10146,2025-03-30,P001,Deep Sea Hair Mask,Hair,4,12,38,0.0,Flagship Store,Tokyo,Dry
YUL-10147,2024-10-20,P002,Fermented Rice Serum,Skin,1,15,45,0.0,Flagship Store,Seoul,Sensitive
YUL-10148,2025-02-14,P005,Ceramide Barrier Cream,Skin,4,14,42,0.25,Sephora,Seoul,Sensitive
YUL-10149,2025-03-06,P001,Deep Sea Hair Mask,Hair,3,12,38,0.1,Flagship Store,London,Oily
YUL-10150,2025-07-18,P003,Scalp Soothing Oil,Hair,3,8,28,0.0,Olive Young,Seoul,Oily
YUL-10151,2024-05-21,P005,Ceramide Barrier Cream,Skin,4,14,42,0.0,Olive Young,Seoul,Dry
YUL-10152,2024-02-09,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Flagship Store,London,Combination
YUL-10153,2025-11-05,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Flagship Store,Seoul,Oily
YUL-10154,2024-12-28,P005,Ceramide Barrier Cream,Skin,1,14,42,0.2,Flagship Store,NYC,Combination
YUL-10155,2024-06-22,P004,Mugwort Essence,Skin,4,10,32,0.1,Flagship Store,London,Dry
YUL-10156,2024-08-25,P005,Ceramide Barrier Cream,Skin,4,14,42,0.2,Sephora,London,Combination
YUL-10157,2024-12-21,P004,Mugwort Essence,Skin,1,10,32,0.2,Online,London,Dry
YUL-10158,2025-05-06,P004,Mugwort Essence,Skin,4,10,32,0.25,Olive Young,NYC,Combination
YUL-10159,2024-12-25,P005,Ceramide Barrier Cream,Skin,2,14,42,0.25,Flagship Store,Seoul,Combination
YUL-10160,2024-02-21,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Sephora,Seoul,Sensitive
YUL-10161,2025-05-26,P005,Ceramide Barrier Cream,Skin,1,14,42,0.0,Sephora,Tokyo,Oily
YUL-10162,2024-11-25,P003,Scalp Soothing Oil,Hair,2,8,28,0.0,Sephora,NYC,Dry
YUL-10163,2024-05-21,P004,Mugwort Essence,Skin,4,10,32,0.25,Olive Young,London,Dry
YUL-10164,2025-09-09,P005,Ceramide Barrier Cream,Skin,4,14,42,0.0,Olive Young,London,Dry
YUL-10165,2024-04-05,P004,Mugwort Essence,Skin,3,10,32,0.2,Flagship Store,Seoul,Oily
YUL-10166,2024-09-22,P003,Scalp Soothing Oil,Hair,1,8,28,0.0,Sephora,Tokyo,Sensitive
YUL-10167,2024-12-11,P004,Mugwort Essence,Skin,3,10,32,0.1,Sephora,Tokyo,Dry
YUL-10168,2024-05-26,P002,Fermented Rice Serum,Skin,1,15,45,0.25,Flagship Store,Seoul,Oily
YUL-10169,2025-09-28,P003,Scalp Soothing Oil,Hair,1,8,28,0.0,Olive Young,NYC,Oily
YUL-10170,2025-06-27,P001,Deep Sea Hair Mask,Hair,3,12,38,0.25,Sephora,London,Combination
YUL-10171,2024-04-18,P002,Fermented Rice Serum,Skin,2,15,45,0.1,Online,Tokyo,Combination
YUL-10172,2025-09-14,P002,Fermented Rice Serum,Skin,1,15,45,0.1,Sephora,Tokyo,Combination
YUL-10173,2024-11-18,P004,Mugwort Essence,Skin,1,10,32,0.0,Sephora,London,Dry
YUL-10174,2025-05-17,P002,Fermented Rice Serum,Skin,4,15,45,0.1,Flagship Store,Seoul,Dry
YUL-10175,2024-12-07,P004,Mugwort Essence,Skin,4,10,32,0.0,Olive Young,Seoul,Dry
YUL-10176,2024-06-03,P005,Ceramide Barrier Cream,Skin,1,14,42,0.0,Sephora,NYC,Combination
YUL-10177,2025-10-07,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Sephora,NYC,Oily
YUL-10178,2025-09-29,P004,Mugwort Essence,Skin,4,10,32,0.1,Flagship Store,NYC,Combination
YUL-10179,2024-07-17,P004,Mugwort Essence,Skin,4,10,32,0.1,Flagship Store,Seoul,Oily
YUL-10180,2024-09-09,P004,Mugwort Essence,Skin,2,10,32,0.25,Online,London,Sensitive
YUL-10181,2025-08-16,P001,Deep Sea Hair Mask,Hair,3,12,38,0.0,Sephora,London,Sensitive
YUL-10182,2025-04-07,P001,Deep Sea Hair Mask,Hair,3,12,38,0.25,Online,NYC,Combination
YUL-10183,2025-02-11,P001,Deep Sea Hair Mask,Hair,4,12,38,0.0,Flagship Store,NYC,Combination
YUL-10184,2024-01-05,P003,Scalp Soothing Oil,Hair,1,8,28,0.0,Online,Tokyo,Dry
YUL-10185,2025-02-17,P002,Fermented Rice Serum,Skin,1,15,45,0.2,Sephora,Tokyo,Combination
YUL-10186,2025-03-01,P004,Mugwort Essence,Skin,3,10,32,0.0,Flagship Store,Seoul,Oily
YUL-10187,2025-10-26,P001,Deep Sea Hair Mask,Hair,4,12,38,0.2,Olive Young,London,Oily
YUL-10188,2025-12-01,P004,Mugwort Essence,Skin,1,10,32,0.2,Online,London,Combination
YUL-10189,2025-05-28,P001,Deep Sea Hair Mask,Hair,2,12,38,0.1,Flagship Store,Seoul,Sensitive
YUL-10190,2024-01-22,P005,Ceramide Barrier Cream,Skin,1,14,42,0.2,Online,Tokyo,Combination
YUL-10191,2025-04-30,P001,Deep Sea Hair Mask,Hair,2,12,38,0.1,Olive Young,Seoul,Dry
YUL-10192,2024-02-21,P004,Mugwort Essence,Skin,4,10,32,0.0,Online,London,Dry
YUL-10193,2025-09-22,P001,Deep Sea Hair Mask,Hair,2,12,38,0.1,Olive Young,Seoul,Oily
YUL-10194,2024-12-15,P001,Deep Sea Hair Mask,Hair,4,12,38,0.2,Online,London,Sensitive
YUL-10195,2025-04-05,P001,Deep Sea Hair Mask,Hair,1,12,38,0.0,Sephora,Seoul,Sensitive
YUL-10196,2025-11-05,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Olive Young,Seoul,Combination
YUL-10197,2025-09-12,P002,Fermented Rice Serum,Skin,3,15,45,0.25,Olive Young,Seoul,Oily
YUL-10198,2024-11-27,P001,Deep Sea Hair Mask,Hair,1,12,38,0.0,Online,NYC,Dry
YUL-10199,2024-12-10,P001,Deep Sea Hair Mask,Hair,1,12,38,0.0,Sephora,NYC,Combination
YUL-10200,2024-08-15,P001,Deep Sea Hair Mask,Hair,3,12,38,0.1,Sephora,London,Sensitive
YUL-10201,2024-10-09,P004,Mugwort Essence,Skin,3,10,32,0.0,Olive Young,Seoul,Dry
YUL-10202,2024-10-24,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Olive Young,NYC,Combination
YUL-10203,2025-07-03,P002,Fermented Rice Serum,Skin,1,15,45,0.2,Sephora,NYC,Oily
YUL-10204,2025-03-27,P005,Ceramide Barrier Cream,Skin,2,14,42,0.1,Olive Young,NYC,Oily
YUL-10205,2025-02-08,P005,Ceramide Barrier Cream,Skin,2,14,42,0.25,Online,Tokyo,Combination
YUL-10206,2024-05-04,P004,Mugwort Essence,Skin,1,10,32,0.0,Flagship Store,Seoul,Sensitive
YUL-10207,2025-04-13,P004,Mugwort Essence,Skin,2,10,32,0.2,Olive Young,Seoul,Sensitive
YUL-10208,2024-09-30,P005,Ceramide Barrier Cream,Skin,1,14,42,0.0,Flagship Store,NYC,Combination
YUL-10209,2024-08-29,P001,Deep Sea Hair Mask,Hair,2,12,38,0.0,Sephora,NYC,Dry
YUL-10210,2025-01-30,P005,Ceramide Barrier Cream,Skin,3,14,42,0.1,Flagship Store,Seoul,Sensitive
YUL-10211,2025-06-25,P005,Ceramide Barrier Cream,Skin,1,14,42,0.2,Flagship Store,Tokyo,Sensitive
YUL-10212,2024-12-22,P003,Scalp Soothing Oil,Hair,2,8,28,0.0,Sephora,London,Sensitive
YUL-10213,2024-12-15,P003,Scalp Soothing Oil,Hair,4,8,28,0.25,Olive Young,Seoul,Dry
YUL-10214,2024-01-13,P005,Ceramide Barrier Cream,Skin,1,14,42,0.0,Sephora,London,Dry
YUL-10215,2024-03-06,P003,Scalp Soothing Oil,Hair,3,8,28,0.0,Sephora,Seoul,Combination
YUL-10216,2024-03-02,P003,Scalp Soothing Oil,Hair,1,8,28,0.0,Online,London,Oily
YUL-10217,2025-11-21,P001,Deep Sea Hair Mask,Hair,2,12,38,0.1,Online,NYC,Sensitive
YUL-10218,2024-07-30,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Flagship Store,Tokyo,Dry
YUL-10219,2025-12-22,P004,Mugwort Essence,Skin,3,10,32,0.2,Sephora,Tokyo,Oily
YUL-10220,2025-05-08,P005,Ceramide Barrier Cream,Skin,2,14,42,0.1,Flagship Store,London,Combination
YUL-10221,2025-04-08,P001,Deep Sea Hair Mask,Hair,3,12,38,0.1,Flagship Store,Seoul,Combination
YUL-10222,2025-11-08,P001,Deep Sea Hair Mask,Hair,3,12,38,0.0,Online,Tokyo,Combination
YUL-10223,2024-06-06,P005,Ceramide Barrier Cream,Skin,3,14,42,0.1,Sephora,London,Oily
YUL-10224,2025-05-15,P005,Ceramide Barrier Cream,Skin,2,14,42,0.1,Sephora,Tokyo,Oily
YUL-10225,2025-01-24,P001,Deep Sea Hair Mask,Hair,1,12,38,0.25,Online,Seoul,Combination
YUL-10226,2024-09-17,P001,Deep Sea Hair Mask,Hair,4,12,38,0.0,Olive Young,Tokyo,Dry
YUL-10227,2024-02-20,P005,Ceramide Barrier Cream,Skin,4,14,42,0.25,Online,NYC,Oily
YUL-10228,2025-05-28,P003,Scalp Soothing Oil,Hair,2,8,28,0.2,Sephora,London,Combination
YUL-10229,2024-01-22,P004,Mugwort Essence,Skin,4,10,32,0.25,Flagship Store,Tokyo,Oily
YUL-10230,2024-11-27,P002,Fermented Rice Serum,Skin,3,15,45,0.25,Online,London,Oily
YUL-10231,2024-02-03,P005,Ceramide Barrier Cream,Skin,1,14,42,0.0,Sephora,NYC,Combination
YUL-10232,2025-01-03,P004,Mugwort Essence,Skin,1,10,32,0.2,Olive Young,Seoul,Sensitive
YUL-10233,2024-03-24,P003,Scalp Soothing Oil,Hair,1,8,28,0.0,Olive Young,NYC,Dry
YUL-10234,2024-06-19,P004,Mugwort Essence,Skin,4,10,32,0.0,Sephora,Tokyo,Oily
YUL-10235,2024-03-09,P002,Fermented Rice Serum,Skin,1,15,45,0.2,Olive Young,NYC,Sensitive
YUL-10236,2024-08-22,P002,Fermented Rice Serum,Skin,4,15,45,0.2,Online,NYC,Dry
YUL-10237,2025-06-02,P003,Scalp Soothing Oil,Hair,3,8,28,0.0,Online,Seoul,Dry
YUL-10238,2024-08-28,P001,Deep Sea Hair Mask,Hair,4,12,38,0.2,Sephora,NYC,Sensitive
YUL-10239,2024-05-05,P003,Scalp Soothing Oil,Hair,1,8,28,0.0,Online,Seoul,Dry
YUL-10240,2024-06-22,P004,Mugwort Essence,Skin,2,10,32,0.25,Flagship Store,Tokyo,Sensitive
YUL-10241,2024-03-23,P003,Scalp Soothing Oil,Hair,1,8,28,0.0,Olive Young,London,Combination
YUL-10242,2024-09-28,P001,Deep Sea Hair Mask,Hair,3,12,38,0.0,Online,NYC,Sensitive
YUL-10243,2025-08-19,P001,Deep Sea Hair Mask,Hair,3,12,38,0.1,Olive Young,London,Oily
YUL-10244,2025-07-19,P004,Mugwort Essence,Skin,1,10,32,0.25,Online,Seoul,Sensitive
